title,year,director,music_director,votes
"Manamantha","2016","Chandra Sekhar Yeleti","Mahesh Shankar","13"
"Babu Bangaram","2016","Maruthi Dasari","Ghibran","13"
"Winner","2017","Gopichand Malineni","S. Thaman","13"
"Touch Chesi Chudu","2018","Vikram Sirikonda","JAM 8","13"
"Prasthanam","2010","Deva Katta","Mahesh Shankar","13"
"Nela Ticket","2018","Kalyan Krishna","Shakthi Kanth Karthick","13"
"Disco Raja","2020","Vi Anand","S. Thaman","13"
"Kavacham","2018","Sreenivas Mamilla","S. Thaman","13"
"Manmadhudu 2","2019","Rahul Ravindran","Chaitan Bharadwaj","13"
"Ranarangam","2019","Sudheer Varma","Prashant Pillai","13"
"Ninnila Ninnila","2021","Ani I. V. Sasi","Rajesh Murugesan","13"
"Khiladi","2022","Ramesh Varma","Devi Sri Prasad","13"
"Ashok","2006","Surender Reddy","Mani Sharma","13"
"Ashta Chamma","2008","Mohana Krishna Indraganti","Kalyani Malik","13"
"Jagadam","2007","Sukumar","Devi Sri Prasad","13"
"Thulasi","2007","Boyapati Srinu","Devi Sri Prasad","13"
"18 Pages","2022","Palnati Surya Pratap","Gopi Sundar","13"
"Balu","2005","A. Karunakaran","Mani Sharma","12"
"Kishkindhapuri","2025","Koushik Pegallapati","Chaitan Bharadwaj","12"
"Bhageeratha","2005","Rasool Ellore","Chakri","12"
"Jil","2015","Radha Krishna Kumar","Ghibran","12"
"Kumari 21F","2015","Palnati Surya Pratap","Devi Sri Prasad","12"
"Guru","2017","Sudha Kongara Prasad","Santhosh Narayanan","12"
"Keshava","2017","Sudheer Varma","Sunny M.R.","12"
"Jawaan","2017","BVS Ravi","S. Thaman","12"
"Raju Gari Gadhi 2","2017","Ohmkar","S. Thaman","12"
"Vanaja","2006","Rajnesh Domalpalli","Bhaskara S. Narayanan","12"
"Antariksham 9000 KMPH","2018","Sankalp Reddy","Prashanth R Vihari","12"
"118","2019","K. V. Guhan","Shekar Chandra","12"
"Gaddalakonda Ganesh","2019","Harish Shankar","Mickey J Meyer","12"
"Teen Maar","2011","Jayant Paranji","Mani Sharma","12"
"Krishna and His Leela","2020","Ravikanth Perepu","Sricharan Pakala","12"
"Lakshmi","2006","V. V. Vinayak","Ramana Gogula","12"
"Alludu Adhurs","2021","Santosh Srinivas","Devi Sri Prasad","12"
"Naandhi","2021","Vijay Kanakamedala","Sricharan Pakala","12"
"Drushyam 2","2021","Jeethu Joseph","Anup Rubens","12"
"Bodyguard","2012","Gopichand Malineni","S. Thaman","12"
"Custody","2023","Venkat Prabhu","Ilaiyaraaja","12"
"Saindhav","2024","Sailesh Kolanu","Santhosh Narayanan","11"
"Matka","2024","Karuna Kumar","G. V. Prakash Kumar","11"
"Yeto Vellipoyindhi Manasu","2012","Gautham Vasudev Menon","Ilaiyaraaja","11"
"Andala Rakshasi","2012","Hanu Raghavapudi","Radhan","11"
"Sudigaadu","2012","Bhimaneni Srinivasa Rao","Sri Vasanth","11"
"Tadakha","2013","Kishore Kumar","S. Thaman","11"
"Anthaka Mundu Aa Tarvatha","2013","Mohana Krishna Indraganti","Kalyana Ramana","11"
"Mukunda","2014","Srikanth Addala","Mickey J Meyer","11"
"Alludu Seenu","2014","V. V. Vinayak","Devi Sri Prasad","11"
"Pataas","2015","Anil Ravipudi","Sai Karthik","11"
"Vunnadhi Okate Zindagi","2017","Kishore Tirumala","Devi Sri Prasad","11"
"PSV Garuda Vega","2017","Praveen Sattaru","Bheems Ceciroleo","11"
"Nannu Dochukunduvate","2018","R. S. Naidu","B. Ajaneesh Loknath","11"
"Rakshasudu","2019","Ramesh Varma","Ghibran","11"
"Chanakya","2019","Thiru","Vishal Chandrasekhar","11"
"Golimaar","2010","Puri Jagannadh","Chakri","11"
"Tuck Jagadish","2021","Shiva Nirvana","S. Thaman","11"
"Varudu Kaavalenu","2021","Lakshmi Sowjanya","Vishal Chandrasekhar","11"
"Maestro","2021","Merlapaka Gandhi","Mahati Swara Sagar","11"
"Republic","2021","Deva Katta","Mani Sharma","11"
"Pakka Commercial","2022","Maruthi Dasari","Jakes Bejoy","11"
"Baby","2023","Sai Rajesh Neelam","Vijai Bulganin","11"
"Thank You","2022","Vikram Kumar","S. Thaman","11"
"Spy","2023","Garry BH","Sricharan Pakala","11"
"Samajavaragamana","2023","Ram Abbaraju","Gopi Sundar","10"
"Anni Manchi Sakunamule","2023","B. V. Nandini Reddy","Mickey J Meyer","10"
